城市编码,名称,所属省份编码,所属区域,Longitude,Latitude
420600,襄阳,420000,"全国,华南区域",112.1485833,32.06468333
420700,鄂州,420000,"全国,华南区域",114.8673667,30.39323333
420800,荆门,420000,"全国,华南区域",112.19354,31.02516
420900,孝感,420000,"全国,华南区域",113.92865,30.918
421000,荆州,420000,"全国,华南区域",112.2416333,30.32876667
421100,黄冈,420000,"全国,华南区域",114.9007333,30.45686667
421200,咸宁,420000,"全国,华南区域",114.3139333,29.85676667
421300,随州,420000,"全国,华南区域",113.3799667,31.71636667
422800,恩施土家族苗族自治州,420000,"全国,华南区域",109.4915333,30.31836667
430100,长沙,430000,"全国,华南区域",112.9847444,28.18684444
430200,株洲,430000,"全国,华南区域",113.14195,27.87741667
430300,湘潭,430000,"全国,华南区域",112.9306167,27.8696
430400,衡阳,430000,"全国,华南区域",112.61625,26.8957
430500,邵阳,430000,"全国,华南区域",111.471175,27.2392
430600,岳阳,430000,"全国,华南区域",113.13296,29.41128
430700,常德,430000,"全国,华南区域",111.691125,29.0101
430800,张家界,430000,"全国,华南区域",110.5203333,29.2002
430900,益阳,430000,"全国,华南区域",112.34965,28.580125
431000,郴州,430000,"全国,华南区域",113.0252,25.801425
431100,永州,430000,"全国,华南区域",111.609325,26.3857
431200,怀化,430000,"全国,华南区域",109.99,27.55485
431300,娄底,430000,"全国,华南区域",111.99055,27.729425
433100,湘西州,430000,"全国,华南区域",109.71415,28.2922
440100,广州,440000,"全国,华南区域",113.41032,23.20302
440200,韶关,440000,"全国,华南区域",113.60006,24.76882
440300,深圳,440000,"全国,华南区域",114.1605333,22.60709333
440400,珠海,440000,"全国,华南区域",113.4815333,22.22028333
440500,汕头,440000,"全国,华南区域",116.6216571,23.32207143
440600,佛山,440000,"全国,华南区域",113.0641375,22.985625
440700,江门,440000,"全国,华南区域",113.0736167,22.55775
440800,湛江,440000,"全国,华南区域",110.3911833,21.23675
440900,茂名,440000,"全国,华南区域",110.94758,21.59802
441200,肇庆,440000,"全国,华南区域",112.49296,23.09904
441300,惠州,440000,"全国,华南区域",114.4736571,22.90901429
441400,梅州,440000,"全国,华南区域",116.1092,24.28856667
